Date,Open,High,Low,Close,Volume
04/01/2010 16:56:00,"11,89","12,24","11,87","12,16",3601600
05/01/2010 16:56:00,"12,23","12,27","11,93","12,1",4246200
06/01/2010 16:56:00,"12,06","12,15","11,93",12,3736000
07/01/2010 16:56:00,"11,94","12,02","11,85","11,97",2201800
08/01/2010 16:56:00,"12,03","12,03","11,84","11,95",2390300
11/01/2010 16:56:00,"11,97","12,05","11,78","11,96",3255100
12/01/2010 16:56:00,"11,85","12,07","11,75",12,3339600
13/01/2010 16:56:00,"12,01","12,09","11,86","12,06",3124200
14/01/2010 16:56:00,"12,02","12,09","11,77","11,81",3678200
15/01/2010 16:56:00,"11,81","11,86","11,58","11,64",4064200
18/01/2010 16:56:00,"11,71","11,83","11,68","11,75",1785900
19/01/2010 16:56:00,"11,66","11,97","11,62","11,85",3310700
20/01/2010 16:56:00,"11,8","11,83","11,35","11,57",4674900
21/01/2010 16:56:00,"11,65","11,66","11,14","11,28",4832700
22/01/2010 16:56:00,"11,2","11,36","11,11","11,28",4299500
26/01/2010 16:56:00,"11,07","11,39","11,01","11,34",3788700
27/01/2010 16:56:00,"11,28","11,31","11,02","11,08",4954800
28/01/2010 16:56:00,"11,25","11,31","11,01","11,27",3730100
29/01/2010 16:56:00,"11,32","11,43","11,02","11,12",4876100
01/02/2010 16:56:00,"11,24","11,35","11,15","11,31",4977900
02/02/2010 16:56:00,"11,43","11,55","11,36","11,48",4646500
03/02/2010 16:56:00,"11,44","11,6","11,26","11,41",3454400
04/02/2010 16:56:00,"11,37","11,37","10,95","11,07",4915600
05/02/2010 16:56:00,"10,93","11,13","10,44","10,66",6715900
08/02/2010 16:56:00,"10,72","10,85","10,57","10,65",5218600
09/02/2010 16:56:00,"10,79","11,21","10,79","11,01",5605900
10/02/2010 16:56:00,"11,07","11,16","10,97","11,15",2669000
11/02/2010 16:56:00,"11,15","11,38","10,91","11,22",5013500
12/02/2010 16:56:00,"11,18","11,28","10,91","11,22",3168200
17/02/2010 16:56:00,"11,36","11,54","11,36","11,54",2641500
18/02/2010 16:56:00,"11,5","11,51","11,32","11,46",5251800
19/02/2010 16:56:00,"11,41","11,46","11,32","11,35",3221500
22/02/2010 16:56:00,"11,39","11,43","11,24","11,24",3012000
23/02/2010 16:56:00,"11,18","11,2","10,95",11,3302200
24/02/2010 16:56:00,11,"11,05","10,85","10,96",3672600
25/02/2010 16:56:00,"10,83","11,1","10,68","10,95",4892700
26/02/2010 16:56:00,"10,95","11,07","10,86","11,05",4393300
01/03/2010 16:56:00,"11,13","11,23","11,08","11,18",3413900
02/03/2010 16:56:00,"11,23","11,34","11,23","11,3",5740000
03/03/2010 16:56:00,"11,35","11,47","11,24","11,28",5487900
04/03/2010 16:56:00,"11,3","11,39","11,2","11,3",2205100
05/03/2010 16:56:00,"11,41","11,42","11,3","11,34",4449300
08/03/2010 16:56:00,"11,35","11,39","11,24","11,24",3035400
09/03/2010 16:56:00,"11,16","11,45","11,16","11,31",7185200
10/03/2010 16:56:00,"11,35","11,53","11,33","11,35",4214600
11/03/2010 16:56:00,"11,3","11,43","11,24","11,41",2278200
12/03/2010 16:56:00,"11,47","11,48","11,26","11,29",2849500
15/03/2010 16:56:00,"11,24","11,37","11,19","11,26",2544500
16/03/2010 16:56:00,"11,24","11,45","11,24","11,36",0
17/03/2010 16:56:00,"11,45","11,46","11,16","11,26",4875900
18/03/2010 16:56:00,"11,26","11,28","11,07","11,25",3531000
19/03/2010 16:56:00,"11,34","11,34","11,05","11,18",3687900
22/03/2010 16:56:00,"11,08","11,22","11,05","11,21",3525200
23/03/2010 16:56:00,"11,32","11,32","10,98","11,05",3920900
24/03/2010 16:56:00,"10,98","11,07","10,92","10,92",3180300
25/03/2010 16:56:00,"11,03","11,22","10,96","11,07",4180800
26/03/2010 16:56:00,"11,09","11,2","11,05","11,15",2384700
29/03/2010 16:56:00,"11,21","11,36","11,15","11,35",3569700
30/03/2010 16:56:00,"11,38","11,49","11,32","11,45",4036100
31/03/2010 16:56:00,"11,41","11,65","11,35","11,64",4855200
01/04/2010 16:56:00,"11,72","11,87","11,69","11,77",4480400
05/04/2010 16:56:00,"11,76","11,85","11,74","11,76",2467000
06/04/2010 16:56:00,"11,65","11,8","11,6","11,62",2781700
07/04/2010 16:56:00,"11,61","11,64","11,54","11,63",2343500
08/04/2010 16:56:00,"11,57",12,"11,55","11,99",0
09/04/2010 16:56:00,12,"12,05","11,87","11,98",4803800
12/04/2010 16:56:00,"11,92","12,03","11,8","11,82",4714700
13/04/2010 16:56:00,"11,82","11,88","11,71","11,71",3072300
14/04/2010 16:56:00,"11,71","11,81","11,61","11,75",3678900
15/04/2010 16:56:00,"11,75","11,78","11,55","11,59",4276900
16/04/2010 16:56:00,"11,55","11,55","11,26","11,35",5313600
19/04/2010 16:56:00,"11,29","11,39","11,1","11,25",3375100
20/04/2010 16:56:00,"11,28","11,35","11,19","11,32",2663500
22/04/2010 16:56:00,"11,24","11,35","11,08","11,32",3867100
23/04/2010 16:56:00,"11,28","11,32","11,17","11,25",3048200
26/04/2010 16:56:00,"11,28","11,3","11,09","11,09",2771900
27/04/2010 16:56:00,"11,01","11,14","10,83","10,91",5342500
28/04/2010 16:56:00,"11,07","11,16","10,93","11,11",5602800
29/04/2010 16:56:00,"11,16","11,41","11,15","11,33",3650000
30/04/2010 16:56:00,"11,27","11,45","11,19","11,29",4291100
03/05/2010 16:56:00,"11,23","11,43","11,19","11,24",0
04/05/2010 16:56:00,"11,14","11,15","10,86","10,95",5610000
05/05/2010 16:56:00,"10,75","11,2","10,69","10,99",5472800
06/05/2010 16:56:00,"10,96","11,19","10,47",11,7475500
07/05/2010 16:56:00,"10,97","11,03","10,54","10,89",5249500
10/05/2010 16:56:00,"11,28","11,4","11,22","11,24",3631300
11/05/2010 16:56:00,"11,08","11,35","11,08","11,13",3054700
12/05/2010 16:56:00,"11,18","11,29","11,13","11,25",3990500
13/05/2010 16:56:00,"11,25","11,28","11,05","11,07",2460100
14/05/2010 16:56:00,"10,95",11,"10,8","10,93",2611600
17/05/2010 16:56:00,"10,93","11,08","10,7","10,98",3172200
18/05/2010 16:56:00,"11,04","11,12","10,68","10,72",3442000
19/05/2010 16:56:00,"10,57","10,57","10,33","10,4",6073200
20/05/2010 16:56:00,"10,24","10,43","10,15","10,24",5353400
21/05/2010 16:56:00,"10,29","10,74","10,18","10,72",6032100
24/05/2010 16:56:00,"10,72","10,72","10,51","10,61",3857900
25/05/2010 16:56:00,"10,3","10,36","9,97","10,17",11790600
26/05/2010 16:56:00,"10,27","10,33","10,05","10,15",12647400
27/05/2010 16:56:00,"10,35","10,54","10,29","10,5",4929500
28/05/2010 16:56:00,"10,46","10,53","10,31","10,47",3547800
31/05/2010 16:56:00,"10,57","10,79","10,49","10,79",3786100
01/06/2010 16:56:00,"10,57","10,77","10,43","10,56",3778800
02/06/2010 16:56:00,"10,59","10,84","10,56","10,75",3334900
04/06/2010 16:56:00,"10,65","10,75","10,54","10,65",2765100
07/06/2010 16:56:00,"10,62","10,79","10,4","10,44",2953700
08/06/2010 16:56:00,"10,53","10,55","10,34","10,48",3778500
09/06/2010 16:56:00,"10,55","10,61","10,33","10,35",3801700
10/06/2010 16:56:00,"10,42","10,66","10,42","10,59",3390900
11/06/2010 16:56:00,"10,55","10,75","10,42","10,7",3278300
14/06/2010 16:56:00,"10,78","10,82","10,57","10,57",1944500
15/06/2010 16:56:00,"10,64","10,85","10,59","10,79",1346100
16/06/2010 16:56:00,"10,71","10,96","10,68","10,89",3472200
17/06/2010 16:56:00,"10,86","10,97","10,7","10,77",0
18/06/2010 16:56:00,"10,78","10,95","10,73","10,95",0
21/06/2010 16:56:00,11,"11,05","10,93",11,2131000
22/06/2010 16:56:00,"10,96","11,1","10,88","10,89",3415600
23/06/2010 16:56:00,"10,88","10,96","10,75","10,93",2658100
24/06/2010 16:56:00,"10,89","10,91","10,56","10,61",3398500
25/06/2010 16:56:00,"10,55","10,73","10,47","10,73",0
28/06/2010 16:56:00,"10,68","10,78","10,62","10,62",2039300
29/06/2010 16:56:00,"10,44","10,45","10,05","10,14",5552800
30/06/2010 16:56:00,"10,15","10,31","9,97","9,97",5882400
01/07/2010 16:56:00,"10,03","10,43","9,95","10,43",6981600
02/07/2010 16:56:00,"10,49","10,6","10,25","10,51",3011300
05/07/2010 16:56:00,"10,44","10,57","10,35","10,35",1908100
06/07/2010 16:56:00,"10,52","10,68","10,45","10,68",3058800
07/07/2010 16:56:00,"10,68","11,18","10,68","11,18",0
08/07/2010 16:56:00,"11,17","11,51","11,14","11,44",6929200
12/07/2010 16:56:00,"11,56","11,61","11,33","11,34",4766500
13/07/2010 16:56:00,"11,45","11,53","11,36","11,48",2797900
14/07/2010 16:56:00,"11,44","11,55","11,36","11,46",4044200
15/07/2010 16:56:00,"11,42","11,57","11,35","11,45",3218900
16/07/2010 16:56:00,"11,47","11,54","11,21","11,25",2812100
19/07/2010 16:56:00,"11,32","11,57","11,26","11,51",3051400
20/07/2010 16:56:00,"11,45","11,75","11,44","11,68",4745400
21/07/2010 16:56:00,"11,81","11,82","11,58","11,59",3238400
22/07/2010 16:56:00,"11,75","11,99","11,75","11,94",5121200
23/07/2010 16:56:00,"11,95","12,04","11,84","12,03",2894500
26/07/2010 16:56:00,"12,05","12,14","11,95","11,99",2281300
27/07/2010 16:56:00,"12,09","12,16","11,99","12,03",3689600
28/07/2010 16:56:00,"12,12","12,64","12,05","12,57",10474100
29/07/2010 16:56:00,"12,53","12,69","12,43","12,56",4023500
30/07/2010 16:56:00,"12,45","12,66","12,31","12,59",5592800
02/08/2010 16:56:00,"12,69","12,76","12,56","12,66",4440100
03/08/2010 16:56:00,"12,55","12,61","12,44","12,45",4563500
04/08/2010 16:56:00,"12,49","12,55","12,29","12,36",5016000
05/08/2010 16:56:00,"12,33","12,5","12,25","12,39",4527100
06/08/2010 16:56:00,"12,34","12,45","12,3","12,42",4869600
09/08/2010 16:56:00,"12,45","12,58","12,45","12,49",4038100
10/08/2010 16:56:00,"12,44","12,45","12,3","12,33",4239700
11/08/2010 16:56:00,"12,24","12,25","11,98","12,08",3847800
12/08/2010 16:56:00,"12,04","12,15","11,95","12,1",3988000
13/08/2010 16:56:00,"12,1","12,29","12,06","12,06",4991200
16/08/2010 16:56:00,"12,02","12,24","12,02","12,21",2659400
17/08/2010 16:56:00,"12,19","12,31","12,18","12,28",2890600
18/08/2010 16:56:00,"12,25","12,42","12,2","12,42",3458800
19/08/2010 16:56:00,"12,41","12,48","12,2","12,2",2289000
20/08/2010 16:56:00,"12,18","12,24","12,1","12,16",1805500
23/08/2010 16:56:00,"12,18","12,28","12,11","12,16",2332500
24/08/2010 16:56:00,"12,05","12,09","11,81","11,89",4074800
25/08/2010 16:56:00,"11,86","11,89","11,65","11,71",5185700
26/08/2010 16:56:00,"11,78","11,85","11,52","11,54",4262600
27/08/2010 16:56:00,"11,63","11,85","11,52","11,85",5360400
30/08/2010 16:56:00,"11,82","11,85","11,57","11,57",0
31/08/2010 16:56:00,"11,59","11,89","11,58","11,89",9168900
01/09/2010 16:56:00,12,"12,34","11,98","12,31",0
02/09/2010 16:56:00,"12,25","12,28","12,03","12,03",3149300
03/09/2010 16:56:00,"12,14","12,2","11,92","11,92",4208200
06/09/2010 16:56:00,"11,96","12,02","11,79","11,85",715600
08/09/2010 16:56:00,"11,98","12,1","11,75",12,7071700
09/09/2010 16:56:00,"12,03","12,14",12,"12,09",0
10/09/2010 16:56:00,"12,03","12,14",12,"12,05",3292000
13/09/2010 16:56:00,"12,22","12,55","12,2","12,53",7307400
14/09/2010 16:56:00,"12,45","12,69","12,42","12,59",4228800
15/09/2010 16:56:00,"12,55","12,67","12,42","12,67",4868700
16/09/2010 16:56:00,"12,58","12,65","12,5","12,57",2681300
17/09/2010 16:56:00,"12,58","12,66","12,43","12,44",2689800
20/09/2010 16:56:00,"12,48","12,65","12,47","12,65",0
21/09/2010 16:56:00,"12,64","12,66","12,42","12,53",4210700
22/09/2010 16:56:00,"12,44","12,72","12,44","12,61",0
23/09/2010 16:56:00,"12,53","12,97","12,49","12,76",7822900
24/09/2010 16:56:00,"12,88","12,88","12,49","12,61",7453900
27/09/2010 16:56:00,"12,66","12,75","12,53","12,75",3436400
28/09/2010 16:56:00,"12,76","12,89","12,63","12,76",3557900
29/09/2010 16:56:00,"12,75","13,12","12,67","13,12",7234200
30/09/2010 16:56:00,"13,14","13,25","12,99","13,25",5360300
01/10/2010 16:56:00,"13,25","13,45","13,16","13,39",5165500
04/10/2010 16:56:00,"13,31","13,39","13,25","13,33",3855800
05/10/2010 16:56:00,"13,38","13,69","13,35","13,66",5031500
06/10/2010 16:56:00,"13,65","13,73","13,54","13,61",5644100
07/10/2010 16:56:00,"13,66","13,67","13,47","13,6",3370100
08/10/2010 16:56:00,"13,58","13,92","13,54","13,91",3852500
11/10/2010 16:56:00,"13,91","13,99","13,78","13,85",1846800
13/10/2010 16:56:00,"13,99","14,19","13,88","14,15",6887600
14/10/2010 16:56:00,"14,13","14,16","13,94","14,1",5649800
15/10/2010 16:56:00,"14,11","14,16","13,94","13,98",6105900
18/10/2010 16:56:00,"13,88","14,16","13,82","14,04",5586100
19/10/2010 16:56:00,"13,78","14,08","13,67","13,78",5908800
20/10/2010 16:56:00,"13,85","14,1","13,7","14,03",4380600
21/10/2010 16:56:00,14,"14,22","13,78","13,78",4256900
22/10/2010 16:56:00,"13,95","14,04","13,81","13,95",4639200
25/10/2010 16:56:00,"14,05","14,24","13,94","14,13",4566800
26/10/2010 16:56:00,"14,11","14,41","14,05","14,41",5685600
27/10/2010 16:56:00,"14,19","14,21","13,74","13,76",10456300
28/10/2010 16:56:00,"13,86","13,86","13,6","13,6",3947900
29/10/2010 16:56:00,"13,61","13,7","13,55","13,68",5347800
01/11/2010 16:56:00,"13,71","14,15","13,71","14,05",4369400
03/11/2010 16:56:00,"14,21","14,43","14,15","14,24",0
04/11/2010 16:56:00,"14,33","14,45","14,24","14,38",5297400
05/11/2010 16:56:00,"14,33","14,51","14,29","14,41",4137300
08/11/2010 16:56:00,"14,38","14,51","14,33","14,48",0
09/11/2010 16:56:00,"14,5","14,52","14,05","14,05",5975100
10/11/2010 16:56:00,"14,05","14,28","13,98","14,25",4928000
11/11/2010 16:56:00,"14,1","14,16","13,9","13,9",3424600
12/11/2010 16:56:00,"13,85","13,93","13,65","13,85",6286600
16/11/2010 16:56:00,"13,79","13,97","13,46","13,69",5302200
17/11/2010 16:56:00,"13,7","13,75","13,53","13,58",3225400
18/11/2010 16:56:00,"13,83","13,83","13,65","13,65",5614100
19/11/2010 16:56:00,"13,62","13,81","13,53","13,77",3569200
22/11/2010 16:56:00,"13,77","13,78","13,37","13,49",4794200
23/11/2010 16:56:00,"13,34","13,39","13,15","13,25",6443500
24/11/2010 16:56:00,"13,35","13,71","13,35","13,53",6497100
25/11/2010 16:56:00,"13,58","13,64","13,45","13,48",2666700
26/11/2010 16:56:00,"13,35","13,43","13,25","13,37",4370700
29/11/2010 16:56:00,"13,33","13,35","13,14","13,33",3934500
30/11/2010 16:56:00,"13,3","13,38","13,11","13,11",8727700
01/12/2010 16:56:00,"13,25","13,55","13,25","13,39",4280600
02/12/2010 16:56:00,"13,5","13,64","13,48","13,53",3687000
03/12/2010 16:56:00,"13,5","13,51","13,19","13,25",4771400
06/12/2010 16:56:00,"13,24","13,29","13,02","13,02",3427500
07/12/2010 16:56:00,13,"13,09","12,86","12,86",3957100
08/12/2010 16:56:00,"12,86","12,88","12,69","12,83",3194000
09/12/2010 16:56:00,"12,86","12,86","12,64","12,71",3849300
10/12/2010 16:56:00,"12,76","12,8","12,58","12,66",3754600
13/12/2010 16:56:00,"12,76","12,89","12,65","12,81",5014900
14/12/2010 16:56:00,"12,85","12,9","12,66","12,86",4158000
15/12/2010 16:56:00,"12,8","12,85","12,67","12,72",3860700
16/12/2010 16:56:00,"12,72","12,85","12,51","12,53",4049800
17/12/2010 16:56:00,"12,54","12,65","12,49","12,57",4974800
20/12/2010 16:56:00,"12,65","12,67","12,43","12,43",4606800
21/12/2010 16:56:00,"12,54","12,7","12,47","12,63",7033200
22/12/2010 16:56:00,"12,69","12,87","12,48","12,87",6299800
23/12/2010 16:56:00,"12,84","12,98","12,76","12,83",4934700
27/12/2010 16:56:00,"12,72","12,8","12,56","12,56",2660000
28/12/2010 16:56:00,"12,67","12,67","12,47","12,55",2049300
29/12/2010 16:56:00,"12,58","12,77","12,55","12,74",4098700
30/12/2010 16:56:00,"12,74","12,82","12,69","12,8",3556300
03/01/2011 16:56:00,"12,99","13,12","12,9","12,95",3870900
04/01/2011 16:56:00,"13,05","13,15","12,9","13,06",3948600
05/01/2011 16:56:00,"13,01","13,33","12,95","13,31",5214500
06/01/2011 16:56:00,"13,22","13,28","12,91","12,95",6915300
07/01/2011 16:56:00,"12,92","13,02","12,63","12,74",4494400
10/01/2011 16:56:00,"12,71","12,76","12,52","12,76",5351100
11/01/2011 16:56:00,"12,85","12,92","12,78","12,83",4539300
12/01/2011 16:56:00,"12,92","13,07","12,9","13,07",5416700
13/01/2011 16:56:00,"13,13","13,15","12,92","12,92",4281400
14/01/2011 16:56:00,"12,92","13,06","12,82","13,04",3862700
17/01/2011 16:56:00,13,13,"12,84","12,85",3534800
18/01/2011 16:56:00,"12,92","12,94","12,79","12,87",6379500
19/01/2011 16:56:00,"12,85","12,94","12,65","12,72",5413400
20/01/2011 16:56:00,"12,62","12,65","12,35","12,49",7890600
21/01/2011 16:56:00,"12,53","12,86","12,38","12,39",5144100
24/01/2011 16:56:00,"12,42","12,62","12,39","12,58",3005600
26/01/2011 16:56:00,"12,57","12,69","12,51","12,51",5013600
27/01/2011 16:56:00,"12,49","12,65","12,25","12,55",5787200
28/01/2011 16:56:00,"12,57","12,57","11,99","12,25",7967300
31/01/2011 16:56:00,"12,35","12,35","12,04","12,07",5588500
01/02/2011 16:56:00,"12,18","12,25","12,09","12,09",0
02/02/2011 16:56:00,"12,07","12,25","11,93","11,94",7269200
03/02/2011 16:56:00,"12,01","12,03","11,78","11,85",0
04/02/2011 16:56:00,"11,79","11,84","11,45","11,45",9761700
07/02/2011 16:56:00,"11,56","11,65","11,39","11,56",5792600
08/02/2011 16:56:00,"11,53","12,02","11,51","11,88",0
09/02/2011 16:56:00,"11,82","11,91","11,64","11,65",6626800
10/02/2011 16:56:00,"11,66","11,85","11,66","11,68",5752800
11/02/2011 16:56:00,"11,78","12,16","11,66","12,11",5454800
14/02/2011 16:56:00,"12,04","12,25","11,98","12,15",3762600
15/02/2011 16:56:00,"12,06","12,35","12,02","12,31",5819500
16/02/2011 16:56:00,"12,31","12,7","12,3","12,64",7816800
17/02/2011 16:56:00,"12,73","12,74","12,54","12,65",4269200
18/02/2011 16:56:00,"12,57","12,75","12,56","12,58",3543600
21/02/2011 16:56:00,"12,55","12,58","12,41","12,42",2583800
22/02/2011 16:56:00,"12,35","12,43","11,97","12,11",6754500
23/02/2011 16:56:00,"12,15","12,25","11,94","12,15",5886400
24/02/2011 16:56:00,"12,19","12,43","12,05","12,22",0
25/02/2011 16:56:00,"12,28","12,41","11,97","12,26",7218800
28/02/2011 16:56:00,"12,35","12,6","12,29","12,55",7818600
01/03/2011 16:56:00,"12,54","12,62","12,31","12,35",4739400
02/03/2011 16:56:00,"12,35","12,45","12,23","12,34",3837100
03/03/2011 16:56:00,"12,38","12,61","12,37","12,55",3133500
04/03/2011 16:56:00,"12,46","12,74","12,45","12,58",2626000
09/03/2011 16:56:00,"12,41","12,45","12,26","12,3",0
10/03/2011 16:56:00,"12,06","12,1","11,85","11,85",5612900
11/03/2011 16:56:00,"11,85","11,97","11,75","11,95",5990000
14/03/2011 16:56:00,"11,92","12,12","11,85","12,03",3590700
15/03/2011 16:56:00,"11,76","12,21","11,74","12,15",6070800
16/03/2011 16:56:00,"12,17","12,25","11,78","11,92",6676200
17/03/2011 16:56:00,"12,04","12,07","11,8","11,92",4230400
18/03/2011 16:56:00,"11,97","12,18","11,96","12,07",5062800
21/03/2011 16:56:00,"12,19","12,25","12,12","12,18",0
22/03/2011 16:56:00,"12,08","12,6","12,08","12,58",4043600
23/03/2011 16:56:00,"12,51","12,6","12,39","12,42",4008400
24/03/2011 16:56:00,"12,39","12,53","12,39","12,41",0
25/03/2011 16:56:00,"12,5","12,5","12,33","12,39",3274100
28/03/2011 16:56:00,"12,39","12,5","12,34","12,35",7914900
29/03/2011 16:56:00,"12,39","12,46","12,29","12,34",0
30/03/2011 16:56:00,"12,4","12,72","12,37","12,72",4811700
31/03/2011 16:56:00,"12,72","13,1","12,7","13,07",4490800
01/04/2011 16:56:00,"13,1","13,3","13,04","13,14",7881700
04/04/2011 16:56:00,"13,15","13,16","12,94","13,02",0
05/04/2011 16:56:00,"12,99","13,1","12,89","12,95",4021500
