Date,Open,High,Low,Close,Volume
02/01/2014 16:56:00,"10,07","10,09","9,8","9,87",1556200
03/01/2014 16:56:00,"9,86","10,07","9,86","10,06",1626100
06/01/2014 16:56:00,"10,04","10,09","9,81","9,85",1487100
07/01/2014 16:56:00,"9,93","9,97","9,76","9,79",857500
08/01/2014 16:56:00,"9,77","9,91","9,63","9,82",874000
09/01/2014 16:56:00,"9,76","9,82","9,31","9,41",1888700
10/01/2014 16:56:00,"9,41","9,63","9,31","9,52",2969700
13/01/2014 16:56:00,"9,52","9,63","9,38","9,38",804900
14/01/2014 16:56:00,"9,45","9,53","9,34","9,41",881600
15/01/2014 16:56:00,"9,49","9,49","9,36","9,4",1112600
16/01/2014 16:56:00,"9,42","9,55","9,32","9,38",1154000
17/01/2014 16:56:00,"9,38","9,42","9,32","9,38",3868500
20/01/2014 16:56:00,"9,34","9,5","9,33","9,34",449600
21/01/2014 16:56:00,"9,41","9,54","9,36","9,43",1500300
22/01/2014 16:56:00,"9,48","9,59","9,47","9,55",1646600
23/01/2014 16:56:00,"9,55","9,66","9,53","9,55",2628600
24/01/2014 16:56:00,"9,54","9,56","9,29","9,31",2672600
27/01/2014 16:56:00,"9,28","9,4","9,25","9,29",1954300
28/01/2014 16:56:00,"9,37","9,47","9,35","9,44",1906000
29/01/2014 16:56:00,"9,5","9,5","9,17","9,21",1896300
30/01/2014 16:56:00,"9,28","9,32","9,18","9,22",3408100
31/01/2014 16:56:00,"9,17","9,29","9,13","9,19",2124600
03/02/2014 16:56:00,"9,19","9,34",9,"9,04",4174200
04/02/2014 16:56:00,"9,07","9,08","8,94","9,04",1380200
05/02/2014 16:56:00,"9,04","9,13","9,01","9,05",2723500
06/02/2014 16:56:00,"9,12","9,19",9,"9,15",2220900
07/02/2014 16:56:00,"9,11","9,41","9,11","9,26",1640700
10/02/2014 16:56:00,"9,26","9,59","9,22","9,57",2347100
11/02/2014 16:56:00,"9,63","9,98","9,56","9,88",2488600
12/02/2014 16:56:00,"9,88","10,06","9,75","9,87",1197100
13/02/2014 16:56:00,"9,77","9,82","9,47","9,47",1777800
14/02/2014 16:56:00,"9,49","9,67","9,4","9,64",4929400
17/02/2014 16:56:00,"9,72","9,78","9,39","9,39",308500
18/02/2014 16:56:00,"9,39","9,63","9,37","9,56",979800
19/02/2014 16:56:00,"9,61","9,61","9,47","9,59",1089600
20/02/2014 16:56:00,"9,52","9,63","9,47","9,59",1695700
21/02/2014 16:56:00,"9,58","9,73","9,55","9,7",1136200
24/02/2014 16:56:00,"9,66","9,81","9,6","9,65",412400
